Private Entity,External URI,Confidence,Type
http://example.org/medical/A-S_Medication_Solutions,wd:Q88465311,0.5,Manufacturer
http://example.org/medical/ABBE_Laboratories_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/ACETAMINOPHEN,wd:Q57055,0.9,ActiveIngredient
http://example.org/medical/AESCULUS_HIPPOCASTANUM_FLOWER,NOT_FOUND,0.0,ActiveIngredient
http://example.org/medical/ALUMINUM_CHLOROHYDRATE,wd:Q27280046,0.9,ActiveIngredient
http://example.org/medical/Acid_Reducer,wd:Q111370830,0.85,Drug
http://example.org/medical/Amazoncom_Services_LLC,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/American_Health_Packaging,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Antibacterial_2X,NOT_FOUND,0.0,Drug
http://example.org/medical/Anticavity_Rinse,NOT_FOUND,0.0,Drug
http://example.org/medical/Atlantis_Consumer_Healthcare_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Aurobindo_Pharma_Limited,wd:Q4822431,0.9,Manufacturer
http://example.org/medical/BENZALKONIUM_CHLORIDE,wd:Q72445001,0.9,ActiveIngredient
http://example.org/medical/BENZOCAINE,wd:Q422745,0.9,ActiveIngredient
http://example.org/medical/BETAMETHASONE_DIPROPIONATE,wd:Q4897349,0.9,ActiveIngredient
http://example.org/medical/Betadine,wd:Q241516,0.8,Drug
http://example.org/medical/Betamethasone_Dipropionate,wd:Q4897349,0.9,Drug
http://example.org/medical/CALCIUM_ACETATE,wd:Q409251,0.9,ActiveIngredient
http://example.org/medical/CLEMATIS_VITALBA_FLOWER,NOT_FOUND,0.0,ActiveIngredient
http://example.org/medical/CVS_Pharmacy,wd:Q2078880,0.85,Manufacturer
http://example.org/medical/Calcium_Acetate,wd:Q409251,0.9,Drug
http://example.org/medical/Cariba_International,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Cipla_USA_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/ENTRESTO,wd:Q29005800,0.9,Drug
http://example.org/medical/ESOMEPRAZOLE_MAGNESIUM,wd:Q47488036,0.9,ActiveIngredient
http://example.org/medical/ETODOLAC,wd:Q2465218,0.5,ActiveIngredient
http://example.org/medical/Etodolac,wd:Q2465218,0.5,Drug
http://example.org/medical/FLUDROCORTISONE_ACETATE,wd:Q27106657,0.9,ActiveIngredient
http://example.org/medical/FOREVER_SKIN_GLOW_24h_wear_radiant_foundation_Perfection_and_hydration_Concentrated_floral_skincare_with_suncreen_Broad_spectrum_SPF_15_00,NOT_FOUND,0.0,Drug
http://example.org/medical/FOURSTAR_GROUP_USA_INC,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Fludrocortisone_Acetate,wd:Q27106657,0.9,Drug
http://example.org/medical/Foster_and_Thrive_Advanced_Relief_Eye_Drops,NOT_FOUND,0.0,Drug
http://example.org/medical/Foster_and_Thrive_Dry_Eye_Relief,NOT_FOUND,0.0,Drug
http://example.org/medical/GLIMEPIRIDE,wd:Q425027,0.85,ActiveIngredient
http://example.org/medical/GLYCERIN,wd:Q132501,0.9,ActiveIngredient
http://example.org/medical/Glimepiride,wd:Q425027,0.85,Drug
http://example.org/medical/HELIANTHEMUM_NUMMULARIUM_FLOWER,NOT_FOUND,0.0,ActiveIngredient
http://example.org/medical/HYDROCORTISONE,wd:Q190875,0.9,ActiveIngredient
http://example.org/medical/IMPATIENS_GLANDULIFERA_FLOWER,NOT_FOUND,0.0,ActiveIngredient
http://example.org/medical/ISOPROPYL_ALCOHOL,wd:Q16392,0.85,ActiveIngredient
http://example.org/medical/Isopropyl_Alcohol,wd:Q16392,0.85,Drug
http://example.org/medical/LANOLIN,wd:Q911098,0.9,ActiveIngredient
http://example.org/medical/Lights_Medical_Manufacture_Co_Ltd,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Lights_Povindone_Iodine_Scrub,NOT_FOUND,0.0,Drug
http://example.org/medical/METHOCARBAMOL,wd:Q411456,0.9,ActiveIngredient
http://example.org/medical/Meijer_Distribution_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Meijer_Inc,wd:Q1917753,0.8,Manufacturer
http://example.org/medical/Mekinist,wd:Q7833138,0.9,Drug
http://example.org/medical/Methocarbamol,wd:Q411456,0.9,Drug
http://example.org/medical/Moisturizing_Antibacterial,NOT_FOUND,0.0,Drug
http://example.org/medical/NAPROXEN,wd:Q1215575,0.9,ActiveIngredient
http://example.org/medical/NICOTINE,wd:Q12144,0.85,ActiveIngredient
http://example.org/medical/Naproxen,wd:Q1215575,0.9,Drug
http://example.org/medical/Nelson_Bach_USA_Ltd,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/Nicotine,wd:Q12144,0.85,Drug
http://example.org/medical/Novartis_Pharmaceuticals_Corporation,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/OASIS_Medical_Inc,NOT_FOUND,0.0,Manufacturer
http://example.org/medical/OASIS_Tears_Lubricant_Eye,NOT_FOUND,0.0,Drug
http://example.org/medical/OCTISALATE,wd:Q27160526,0.9,ActiveIngredient
http://example.org/medical/OPHTHALMIC,wd:Q15759091,0.5,Route
http://example.org/medical/ORAL,wd:Q37065880,0.85,Route
http://example.org/medical/ORNITHOGALUM_UMBELLATUM_WHOLE,NOT_FOUND,0.0,ActiveIngredient
http://example.org/medical/PETROLATUM,wd:Q457239,0.9,ActiveIngredient
http://example.org/medical/POLYETHYLENE_GLYCOL_400,wd:Q410083,0.8,ActiveIngredient
http://example.org/medical/POVIDONE-IODINE,wd:Q241516,0.85,ActiveIngredient
http://example.org/medical/PRUNUS_CERASIFERA_FLOWER,NOT_FOUND,0.0,ActiveIngredient
http://example.org/medical/Pain_Reliever_Extra_Strength,NOT_FOUND,0.0,Drug
http://example.org/medical/Parfums_Christian_Dior,wd:Q3365053,0.85,Manufacturer
http://example.org/medical/Proficient_Rx_LP,NOT_FOUND,0.0,Manufacturer
